,Values,Year,Day_of_month,Day_of_week,Prev_week,ID,date
0,-0.09657378110073278,2018,2,1,0.0984530354115769,Energy,2/10/2018
1,-0.06821674572283154,2018,3,2,0.1226100291816139,Energy,3/10/2018
2,-0.0050278608373561795,2018,4,3,0.12539873901258103,Energy,4/10/2018
3,0.06488632548197115,2018,5,4,0.06778946077228598,Energy,5/10/2018
4,0.11716128741525988,2018,6,5,-0.1412161811168886,Energy,6/10/2018
5,0.11412816675145177,2018,7,6,-0.13265998068682938,Energy,7/10/2018
6,0.0957993042224099,2018,8,0,-0.16806122759363396,Energy,8/10/2018
7,0.16221147638654543,2018,9,1,-0.09657378110073278,Energy,9/10/2018
8,0.22936302906830752,2018,10,2,-0.06821674572283154,Energy,10/10/2018
9,0.26603229265992834,2018,11,3,-0.0050278608373561795,Energy,11/10/2018
10,0.3184836943212952,2018,12,4,0.06488632548197115,Energy,12/10/2018
11,0.31781008703940694,2018,18,3,0.11716128741525988,Energy,18/10/2018
12,0.08354000719018462,2018,19,4,0.11412816675145177,Energy,19/10/2018
13,0.037654841728316235,2018,20,5,0.0957993042224099,Energy,20/10/2018
14,0.0033318990249657787,2018,21,6,0.16221147638654543,Energy,21/10/2018
15,-0.03482324953669602,2018,22,0,0.22936302906830752,Energy,22/10/2018
16,0.05179631177450705,2018,23,1,0.26603229265992834,Energy,23/10/2018
17,-0.13116832664982958,2018,24,2,0.3184836943212952,Energy,24/10/2018
18,-0.14452650520056665,2018,25,3,0.31781008703940694,Energy,25/10/2018
19,-0.15497314486003733,2018,29,0,0.08354000719018462,Energy,29/10/2018
20,-0.330064653627943,2018,30,1,0.037654841728316235,Energy,30/10/2018
21,-0.25960378734581546,2018,31,2,0.0033318990249657787,Energy,31/10/2018
22,-0.20819323223782993,2018,1,3,-0.03482324953669602,Energy,1/11/2018
23,-0.13734968331633768,2018,2,4,0.05179631177450705,Energy,2/11/2018
24,-0.21405579156916366,2018,3,5,-0.13116832664982958,Energy,3/11/2018
25,-0.22130927420527335,2018,4,6,-0.14452650520056665,Energy,4/11/2018
26,-0.23534919313256708,2018,5,0,-0.15497314486003733,Energy,5/11/2018
27,-0.17219204046734893,2018,6,1,-0.330064653627943,Energy,6/11/2018
28,-0.12720875030880263,2018,7,2,-0.25960378734581546,Energy,7/11/2018
29,-0.16882645543049746,2018,8,3,-0.20819323223782993,Energy,8/11/2018
30,-0.14319249801465173,2018,9,4,-0.13734968331633768,Energy,9/11/2018
31,-0.11091465549899704,2018,10,5,-0.21405579156916366,Energy,10/11/2018
32,-0.1419940188774067,2018,11,6,-0.22130927420527335,Energy,11/11/2018
33,-0.17483629355621844,2018,12,0,-0.23534919313256708,Energy,12/11/2018
34,-0.1265649539526481,2018,13,1,-0.17219204046734893,Energy,13/11/2018
35,-0.09592697010325679,2018,14,2,-0.12720875030880263,Energy,14/11/2018
36,-0.06925664995396197,2018,15,3,-0.16882645543049746,Energy,15/11/2018
37,-0.035769267031702245,2018,16,4,-0.14319249801465173,Energy,16/11/2018
38,0.004801819799323592,2018,17,5,-0.11091465549899704,Energy,17/11/2018
39,-0.0180120004252462,2018,18,6,-0.1419940188774067,Energy,18/11/2018
40,-0.051060612712433784,2018,19,0,-0.17483629355621844,Energy,19/11/2018
41,-0.006152136184406132,2018,20,1,-0.1265649539526481,Energy,20/11/2018
42,0.05290833999762956,2018,21,2,-0.09592697010325679,Energy,21/11/2018
43,0.054434515947733964,2018,22,3,-0.06925664995396197,Energy,22/11/2018
44,0.09882252817531967,2018,23,4,-0.035769267031702245,Energy,23/11/2018
45,0.0917055698804301,2018,24,5,0.004801819799323592,Energy,24/11/2018
46,0.07705879473716681,2018,25,6,-0.0180120004252462,Energy,25/11/2018
47,0.04355664134449544,2018,26,0,-0.051060612712433784,Energy,26/11/2018
48,0.09250016570677566,2018,27,1,-0.006152136184406132,Energy,27/11/2018
49,0.13896166945664357,2018,28,2,0.05290833999762956,Energy,28/11/2018
50,0.1660262192726667,2018,29,3,0.054434515947733964,Energy,29/11/2018
51,0.17096013843927782,2018,30,4,0.09882252817531967,Energy,30/11/2018
52,-0.028633219301189783,2018,1,5,0.0917055698804301,Energy,1/12/2018
53,-0.05978929864877447,2018,2,6,0.07705879473716681,Energy,2/12/2018
54,-0.09654681545377253,2018,3,0,0.04355664134449544,Energy,3/12/2018
55,-0.05531219279201682,2018,4,1,0.09250016570677566,Energy,4/12/2018
56,-0.008923588100448132,2018,5,2,0.13896166945664357,Energy,5/12/2018
57,0.03321677448594729,2018,6,3,0.1660262192726667,Energy,6/12/2018
58,0.05648466297845767,2018,7,4,0.17096013843927782,Energy,7/12/2018
59,0.078867311046106,2018,8,5,-0.028633219301189783,Energy,8/12/2018
60,0.054894463652833014,2018,9,6,-0.05978929864877447,Energy,9/12/2018
61,0.023063985140985732,2018,10,0,-0.09654681545377253,Energy,10/12/2018
62,0.04100437692920966,2018,11,1,-0.05531219279201682,Energy,11/12/2018
63,0.048192775374328534,2018,12,2,-0.008923588100448132,Energy,12/12/2018
64,0.06861157777186744,2018,13,3,0.03321677448594729,Energy,13/12/2018
65,0.08122948236382044,2018,14,4,0.05648466297845767,Energy,14/12/2018
66,0.11838110787783718,2018,15,5,0.078867311046106,Energy,15/12/2018
67,0.10297718599197303,2018,16,6,0.054894463652833014,Energy,16/12/2018
68,0.07885851565478008,2018,17,0,0.023063985140985732,Energy,17/12/2018
69,0.08432791193129852,2018,18,1,0.04100437692920966,Energy,18/12/2018
70,0.09396185669372237,2018,19,2,0.048192775374328534,Energy,19/12/2018
